id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Empty Hallways,Velvet Dusk,classical,melancholic,0.22,58,0.21,0.18,0.97
12,Block by Block,Street Axiom,hip-hop,energetic,0.85,96,0.72,0.91,0.08
13,Golden Harvest,Dusty Pines,country,nostalgic,0.54,104,0.78,0.67,0.74
14,Underneath the Stars,Luna Solis,r&b,romantic,0.61,88,0.83,0.71,0.55
15,Fractured Steel,Iron Veil,metal,angry,0.97,178,0.19,0.55,0.03
16,Porch Song,Clara Wren,folk,sad,0.30,66,0.28,0.40,0.93
17,Current State,Bassform,electronic,energetic,0.88,140,0.65,0.94,0.04
18,Rain on Glass,Hollow Tide,blues,melancholic,0.45,74,0.33,0.48,0.81
19,Dancing in Neon,Prism Beat,pop,happy,0.88,126,0.91,0.85,0.12
20,Summer Static,Coastal Line,pop,energetic,0.80,134,0.76,0.82,0.20
21,Velvet Crush,Stella Vox,pop,romantic,0.65,108,0.82,0.74,0.38
22,Heartbeats,Echo Shore,pop,moody,0.70,116,0.52,0.78,0.25
23,Rainy Afternoon,LoRoom,lofi,relaxed,0.30,70,0.62,0.52,0.82
24,Warm Light,Paper Lanterns,lofi,nostalgic,0.38,75,0.58,0.55,0.79
25,Soft Hours,Dusk Tape,lofi,chill,0.32,68,0.65,0.48,0.88
26,Concrete Wings,Voltline,rock,energetic,0.85,142,0.55,0.62,0.12
27,Dark Signal,Iron Circuit,rock,moody,0.78,128,0.35,0.58,0.08
28,Aftershock,Red Fault,rock,angry,0.94,162,0.28,0.54,0.06
29,Blue Collar Anthem,Working Crew,rock,intense,0.82,136,0.48,0.65,0.15
30,Friction,Static Nerve,rock,focused,0.75,118,0.42,0.60,0.18
31,Lunar Drift,Orbit Bloom,ambient,relaxed,0.18,62,0.70,0.25,0.94
32,Mountain Haze,Still Water,ambient,chill,0.22,58,0.68,0.28,0.96
33,Glass Cathedral,Pale Vessel,ambient,melancholic,0.15,56,0.38,0.22,0.92
34,Tidal Field,Shoreline Echo,ambient,focused,0.30,72,0.62,0.35,0.88
35,Breath of Morning,Soft Circuit,ambient,happy,0.25,65,0.75,0.30,0.90
36,Midnight Keys,Slow Stereo,jazz,romantic,0.42,88,0.76,0.58,0.88
37,Blue Smoke,Quarter Note,jazz,melancholic,0.38,82,0.44,0.50,0.91
38,City Rain,Chord Collective,jazz,chill,0.45,92,0.66,0.62,0.84
39,Late Session,Five Keys,jazz,relaxed,0.52,98,0.72,0.68,0.80
40,Brass Summer,The Wren Quartet,jazz,happy,0.60,116,0.80,0.72,0.76
41,Chrome Horizon,Neon Echo,synthwave,energetic,0.82,128,0.65,0.85,0.08
42,Retro Signal,Volt City,synthwave,nostalgic,0.78,120,0.72,0.80,0.12
43,Digital Rain,Binary Pulse,synthwave,moody,0.70,108,0.44,0.76,0.10
44,Grid Rush,Crystal Drive,synthwave,intense,0.88,134,0.58,0.88,0.06
45,Neon Arcade,Pixel Drift,synthwave,happy,0.85,126,0.78,0.86,0.09
46,Paper Town,Indigo Parade,indie pop,nostalgic,0.62,112,0.70,0.72,0.42
47,Yellow Cardigan,Soft Shore,indie pop,happy,0.68,118,0.84,0.78,0.38
48,Hollow Summer,Glass Twins,indie pop,melancholic,0.58,104,0.48,0.64,0.48
49,Fade Lines,Two Mornings,indie pop,moody,0.64,110,0.56,0.68,0.40
50,Dusk Sonata,Pale Vessel,classical,romantic,0.32,76,0.68,0.28,0.96
51,Wintersong,The Chamber Players,classical,melancholic,0.18,56,0.24,0.16,0.98
52,Spring Allegro,Clara Wren,classical,happy,0.52,112,0.75,0.45,0.95
53,Nocturne in E Minor,Ivory Keys,classical,sad,0.22,62,0.22,0.18,0.97
54,Crown Up,Street Axiom,hip-hop,energetic,0.88,98,0.78,0.90,0.06
55,Grid Talk,West Side Signal,hip-hop,focused,0.72,88,0.62,0.82,0.10
56,Low Rider,Smooth Current,hip-hop,chill,0.66,82,0.70,0.80,0.18
57,Trophy Room,Gold Chain,hip-hop,happy,0.84,104,0.82,0.88,0.08
58,Night Moves,Dark Circuit,hip-hop,moody,0.78,92,0.44,0.85,0.12
59,Highway at Dawn,Dusty Pines,country,nostalgic,0.62,112,0.72,0.70,0.78
60,Old Front Porch,River Creek,country,relaxed,0.44,92,0.68,0.60,0.86
61,Boot Scootin Blues,Lone Star Road,country,happy,0.72,124,0.80,0.78,0.62
62,Letting Go,Sundown Grace,country,sad,0.42,88,0.38,0.52,0.82
63,Velvet Kiss,Luna Solis,r&b,romantic,0.65,92,0.86,0.76,0.45
64,Slow Burn,Satin Wave,r&b,moody,0.58,84,0.55,0.72,0.38
65,Golden Touch,Smooth Current,r&b,happy,0.75,108,0.88,0.84,0.30
66,Midnight River,Deep Harmony,r&b,relaxed,0.54,88,0.75,0.70,0.52
67,Void March,Iron Veil,metal,angry,0.96,185,0.14,0.52,0.03
68,Black Mountain,Death Circuit,metal,intense,0.98,192,0.18,0.45,0.02
69,War Machine,Grind Zero,metal,angry,0.99,198,0.10,0.42,0.02
70,Collapse,Blind Tide,metal,moody,0.92,158,0.22,0.55,0.05
71,Campfire Songs,Clara Wren,folk,nostalgic,0.38,88,0.65,0.52,0.90
72,Harvest Moon,Willowbrook,folk,romantic,0.32,78,0.70,0.44,0.94
73,Wandering Road,Open Field,folk,melancholic,0.28,72,0.38,0.40,0.92
74,Morning Meadow,Cedar Line,folk,happy,0.48,102,0.72,0.58,0.85
75,Pulse Drive,Bassform,electronic,energetic,0.92,148,0.70,0.94,0.04
